"Content","Video title","Duração","Inscritos","Avg Viewed %","Likes","Shares","Views","Impressões","CTR %","Avg View Duration","Ano","Data Publicação","Mês_Ano","Creator","Categoria","Total Comments","Link","Conversão Inscritos","Conversão Comments"
"hptXVPsUj78","A FARSA DO ""JOGA BONITO""",1756,719,31.77,9851,654,185246,3074008,3.84,"00:09:17",2026,"2026-02-07","02-2026","Felipe","SELEÇÃO BRASILEIRA",,"https://www.youtube.com/watch?v=hptXVPsUj78",0.00388132537274759,
"2TdUiNw0dQc","A MAIOR INJUSTIÇA do FUTEBOL",835,87,41.79,2994,156,30994,383891,4.59,"00:05:48",2026,"2026-02-06","02-2026","João","COMO SER JOGADOR",125,"https://www.youtube.com/watch?v=2TdUiNw0dQc",0.002806994902239143,0.004033038652642447
"RVWz7gN0llU","As jogadas ensaiadas do ARSENAL deveriam ser PROIBIDAS",1217,145,36.79,2684,142,30654,461190,4.16,"00:07:27",2026,"2026-02-06","02-2026","Felipe","FUTEBOL NO MUNDO",92,"https://www.youtube.com/watch?v=RVWz7gN0llU",0.004730214653878776,0.0030012396424610164
"bR7-8RQnsrg","O Segredo por trás dos +20 gols de Carlos Vinícius",652,23,33.3,998,42,14422,217137,4.72,"00:03:37",2026,"2026-02-05","02-2026","Rai","EXPLICANDO",106,"https://www.youtube.com/watch?v=bR7-8RQnsrg",0.0015947857440022188,0.007349882124531965
"8Ysmc8zgMFU","O TÉCNICO MAIS INTERESSANTE DA EUROPA",1350,1214,28.06,7933,675,131510,1985604,3.88,"00:06:18",2026,"2026-02-04","02-2026","Felipe","FUTEBOL NO MUNDO",173,"https://www.youtube.com/watch?v=8Ysmc8zgMFU",0.009231237168276177,0.0013154893164017945
"-68L7R4tMg0","Por que 99% dos rivais perdem o controle contra o Bidon?",844,1982,45.56,18736,1680,278100,3511123,5.2,"00:06:24",2026,"2026-02-03","02-2026","João","EXPLICANDO",775,"https://www.youtube.com/watch?v=-68L7R4tMg0",0.007126932758000719,0.002786767349874146
"-kQG_VPGGyQ","Por que a ESTRATÉGIA do CORINTHIANS funcionou PERFEITAMENTE na Supercopa",879,394,39.6,8198,347,150905,1988333,5.08,"00:05:48",2026,"2026-02-02","02-2026",,,255,"https://www.youtube.com/watch?v=-kQG_VPGGyQ",0.002610914151287234,0.0016898048441072197
"vJuFRJHlvDM","A HERANÇA MALDITA de MESSI e CR7",693,272,47.64,6229,355,59833,992783,4.37,"00:05:30",2026,"2026-02-01","02-2026","João","FUTEBOL NO MUNDO",471,"https://www.youtube.com/watch?v=vJuFRJHlvDM",0.004545986328614644,0.007871910149917269
"lR2u0eiUo8k","USEI OS DADOS PARA ACHAR O SUBSTITUTO PERFEITO PARA O KAIKI",1550,49,23.58,820,40,10474,170305,4.05,"00:06:05",2026,"2026-01-31","01-2026","Felipe","COMO JOGA",89,"https://www.youtube.com/watch?v=lR2u0eiUo8k",0.004678250907007829,0.008497231239259119
"R9MaOZ7UMdQ","As MALANDRAGENS dos profissionais que NINGUÉM te conta",1073,406,37.69,5321,196,84810,1116106,4.53,"00:06:44",2026,"2026-01-30","01-2026","João","COMO SER JOGADOR",130,"https://www.youtube.com/watch?v=R9MaOZ7UMdQ",0.004787171324136304,0.0015328381087135951
"F07z4yZ1Yy4","IGOR THIAGO ESTÁ ACABANDO COM A PREMIER! (MERECE SELEÇÃO?)",975,499,35.02,6395,306,116672,1534458,4.83,"00:05:41",2026,"2026-01-29","01-2026","Felipe","FUTEBOL NO MUNDO",320,"https://www.youtube.com/watch?v=F07z4yZ1Yy4",0.004276947339550192,0.0027427317608337905
"YNqjRgmNubc","Cuidado, Ancelotti! As 2 armadilhas que podem ferrar o Brasil na Copa do Mundo",1026,524,42.89,4682,118,47259,700705,4.76,"00:07:20",2026,"2026-01-28","01-2026","João","SELEÇÃO BRASILEIRA",160,"https://www.youtube.com/watch?v=YNqjRgmNubc",0.011087835121352547,0.0033855985103366554
"LFaKVTbMowA","A VIRADA ABSURDA de ENDRICK que pode levá lo à COPA DO MUNDO!",650,14,43.97,1469,32,18865,267807,5.08,"00:04:45",2026,"2026-01-27","01-2026","Rai","FUTEBOL NO MUNDO",80,"https://www.youtube.com/watch?v=LFaKVTbMowA",0.0007421150278293135,0.004240657301881791
"3cy6CB-_b8s","NADA DE HULK: O HERÓI QUE VOCÊ NÃO VIU EM GALO X CRUZEIRO",1521,870,36.74,7292,846,71242,918450,5.49,"00:09:18",2026,"2026-01-26","01-2026","Felipe","EXPLICANDO",336,"https://www.youtube.com/watch?v=3cy6CB-_b8s",0.012211897476207855,0.004716319025294068
"wsVDRUbKdac","Como BRENNER VAI VIRAR o ARTILHEIRO do VASCO em 2026",566,38,38.17,940,36,14104,243612,4.4,"00:03:36",2026,"2026-01-25","01-2026","Rai","COMO JOGA",43,"https://www.youtube.com/watch?v=wsVDRUbKdac",0.0026942711287577994,0.003048780487804878
"8fvclqAjlp8","Como ARIAS pode terminar com a MÁ FASE DO PALMEIRAS",802,4,27.78,457,14,5623,100818,4.08,"00:03:52",2026,"2026-01-23","01-2026","Rai","COMO JOGA",34,"https://www.youtube.com/watch?v=8fvclqAjlp8",0.0007113640405477503,0.006046594344655877
"2-CDx_G50tg","Essa VERSÃO do BRUNO GUIMARÃES vai trazer a COPA pro BRASIL",994,154,43.8,3634,67,46089,624191,4.49,"00:07:15",2026,"2026-01-22","01-2026","João","SELEÇÃO BRASILEIRA",183,"https://www.youtube.com/watch?v=2-CDx_G50tg",0.0033413612792640326,0.003970578663021545
"VeKTN5RP-pY","O QUE PODEMOS ESPERAR DO GALO EM 2026",1249,462,40.95,3549,458,32056,498543,4.31,"00:08:31",2026,"2026-01-22","01-2026","Felipe","COMO JOGA",223,"https://www.youtube.com/watch?v=VeKTN5RP-pY",0.014412278512602945,0.006956575992013976
"DOEsSTpMitg","A NOVA RAÇA de ATACANTES VAI DOMINAR o FUTEBOL",935,241,47.52,6614,262,86971,1240914,4.49,"00:07:24",2026,"2026-01-21","01-2026","João","SELEÇÃO BRASILEIRA",327,"https://www.youtube.com/watch?v=DOEsSTpMitg",0.0027710386220694255,0.0037598739809821665
"HfVPDIsChyg","O CARRICK não é nenhum GÊNIO e MUDOU o United",1024,322,38.56,3240,96,38987,591744,4.7,"00:06:34",2026,"2026-01-21","01-2026","Felipe","FUTEBOL NO MUNDO",88,"https://www.youtube.com/watch?v=HfVPDIsChyg",0.008259163310847206,0.0022571626439582427
"qoW9sSSB8Y8","Essa é a GRANDE DIFERENÇA do PAQUETÁ pro GERSON (e ela muda TUDO)",913,1052,39.84,9471,847,124432,1621166,5.07,"00:06:03",2026,"2026-01-17","01-2026","João","COMO JOGA",478,"https://www.youtube.com/watch?v=qoW9sSSB8Y8",0.008454416870258455,0.0038414555741288414
"vORyaIy59S0","Por que KAIO CÉSAR é a CONTRATAÇÃO que o CORINTHIANS PRECISAVA",857,118,35.68,2856,132,54408,664175,6.21,"00:05:05",2026,"2026-01-15","01-2026","Rai","COMO JOGA",101,"https://www.youtube.com/watch?v=vORyaIy59S0",0.0021687987060726365,0.001856344655197765
"Y-7HcwWmmj8","ENAMORADO: o colombiano que vai SURPREENDER no GRÊMIO de 2026!",738,4,34.55,385,6,4168,104693,2.82,"00:04:14",2026,"2026-01-14","01-2026","Rai","COMO JOGA",41,"https://www.youtube.com/watch?v=Y-7HcwWmmj8",0.0009596928982725527,0.009836852207293667
"Pb93foUpauo","VEJA JOHAN ROJAS UMA VEZ e ENTENDA TODO o PLANO do VASCO",858,191,38.71,1969,105,22432,429685,3.95,"00:05:32",2026,"2026-01-13","01-2026","João","COMO JOGA",83,"https://www.youtube.com/watch?v=Pb93foUpauo",0.008514621968616262,0.003700071326676177
"uEzAUZT7uE0","GABRIEL PAULISTA É BOM ou COMPROMETE!?",1177,997,33.42,6268,235,75659,1161422,4.26,"00:06:33",2026,"2026-01-13","01-2026","João","COMO JOGA",164,"https://www.youtube.com/watch?v=uEzAUZT7uE0",0.013177546623666716,0.0021676205078047556
"zb24I4b0dsQ","NINGUÉM está JOGANDO mais bola que o SUPER RAPHINHA",658,14,38.03,1351,37,15172,228326,4.93,"00:04:10",2026,"2026-01-12","01-2026","Rai","FUTEBOL NO MUNDO",77,"https://www.youtube.com/watch?v=zb24I4b0dsQ",0.0009227524387028737,0.005075138412865806
